Patrik Order Form;;;;;;;;;
Date: ;;;;;;;;;
Est. delivery Date: ;;;Primary;;Total;;;;End
Part;Part Desc;Price List Price;Order QTY;Parts Per Container;;;;;
20072480;7248 CUTE CAR PARTY ANIMAL;11,57 US$;;8;;;;;
20072490;7249 CUTE DRAGON PARTY ANIMAL;11,87 US$;;8;;;;;
20072500;7250 T-REX PARTY ANIMAL;11,57 US$;;8;;;;;
20072510;7251 FROG PARTY ANIMAL;11,57 US$;;8;;;;;
20072520;7252 TURTLE PARTY ANIMAL;11,57 US$;;8;;;;;
20072550;7255 LARGE GNOME;12,93 US$;;1;;;;;
20072560;7256 SMALL GNOME;13,38 US$;;4;;;;;
20072630;7263 GECKO PARTY ANIMAL;12,43 US$;;8;;;;;
20072640;7264 GATOR PARTY ANIMAL;12,79 US$;;8;;;;;
20072650;7265 UNICORN PARTY ANIMAL;8,12 US$;;8;;;;;
20072660;7266 DOLPHIN PARTY ANIMAL;10,70 US$;;8;;;;;
20072670;7267 PLANE PARTY ANIMAL;12,12 US$;;8;;;;;
20072690;7269 CUPCAKE PENNY BANK;12,13 US$;;8;;;;;
20072740;7274 HAMBURGER BANK;14,73 US$;;6;;;;;
20072780;7278 SUNDAE BANK;15,03 US$;;6;;;;;
20072830;7283 TRAVELING GNOME;11,06 US$;;8;;;;;
20072840;7284 WOMEN GNOME;11,33 US$;;2;;;;;
20072850;7285 OWL BANK;14,60 US$;;6;;;;;
20072860;7286 OWL PARTY ANIMAL;12,30 US$;;8;;;;;
20072930;7293 SOFT SERVE BANK;13,09 US$;;6;;;;;
20072970;7297 BIRD PARTY ANIMAL;12,52 US$;;8;;;;;
20073050;7305 BIGGY DRAGON BANK;11,44 US$;;2;;;;;
20073060;7306 BIGGY ELEPHANT BANK;11,92 US$;;2;;;;;
20073070;7307 BIGGY  UNICORN BANK;10,94 US$;;2;;;;;
20073080;7308 BIGGY DOG BANK;11,44 US$;;2;;;;;
20073090;7309 BIGGY CAT BANK;9,57 US$;;2;;;;;
20073110;7311 BIGGY T-REX BANK;11,44 US$;;2;;;;;
20073130;7313 BIGGY MERMAID BANK;10,87 US$;;2;;;;;
20073140;7314 BIGGY PENGUIN;10,11 US$;;2;;;;;
20073150;7315 CUPCAKE BANK;14,35 US$;;6;;;;;
20073160;7316 STACK OF OWLS BANK;17,89 US$;;6;;;;;
20073170;7317 HOCKEY PUCK BANK;12,84 US$;;6;;;;;
20073180;7318 ELEPHANT PARTY ANIMAL;13,93 US$;;8;;;;;
20073190;7319 CHICK PARTY ANIMAL;12,18 US$;;8;;;;;
20073210;7321 LADYBUG PARTY ANIMAL;11,72 US$;;8;;;;;
20073230;7323 BUCK THE HUNGRY MONSTER;13,36 US$;;6;;;;;
20073240;7324 BENJAMIN THE HUNGRY MONSTER;13,36 US$;;6;;;;;
20073250;7325 STANDING HORSE WITH BASE;14,79 US$;;6;;;;;
20073260;7326 DOLPHIN BANK;15,36 US$;;6;;;;;
20073270;7327 SHARK BANK;16,11 US$;;6;;;;;
20073280;7328 SEAL BANK;15,36 US$;;6;;;;;
20073290;7329 WHALE BANK;15,11 US$;;6;;;;;
20073320;7332 STACK OF PENGUINS BANK;22,49 US$;;6;;;;;
20073330;7333 STACK OF FROGS BANK;21,24 US$;;6;;;;;
20073340;7334 OWL BOX;14,39 US$;;8;;;;;
20073350;7335 GIRAFFE PARTY ANIMAL;11,81 US$;;8;;;;;
20073360;7336 LION PARTY ANIMAL;11,45 US$;;8;;;;;
20073370;7337 RABBIT PARTY ANIMAL;12,10 US$;;8;;;;;
20073380;7338 PEGASUS PARTY ANIMAL;12,93 US$;;8;;;;;
20073390;7339 TANK BOX;17,77 US$;;6;;;;;
20073400;7340 SHARK WALL PLAQUE;18,54 US$;;6;;;;;
20073410;7341 SHARKIS MAXIMUS;18,80 US$;;1;;;;;
20073460;7346 PUDGEY DOG BANK;10,07 US$;;6;;;;;
20073470;7347 PUDGEY CAT BANK;10,52 US$;;6;;;;;
20073480;7348 PUDGEY ELEPHANT BANK;11,23 US$;;6;;;;;
20073490;7349 PUDGEY PENGUIN BANK;10,07 US$;;6;;;;;
20073500;7350 PUDGEY PIG BANK;11,23 US$;;6;;;;;
20073510;7351 PUDGEY OWL BANK;10,52 US$;;6;;;;;
20073540;7354 STACK OF TURTLES;20,75 US$;;6;;;;;
20073550;7355 PRINCESS PARTY ANIMAL;11,12 US$;;8;;;;;
20073560;7356 FOX PARTY ANIMAL;11,03 US$;;8;;;;;
20073570;7357 MOOSE PARTY ANIMAL;14,51 US$;;8;;;;;
20073580;7358 OCTOPUS PARTY ANIMAL;13,72 US$;;8;;;;;
20073600;7360 FOX BANK;16,02 US$;;6;;;;;
20073640;7364 SHARK PARTY ANIMAL;11,40 US$;;8;;;;;
20073650;7365 COW PARTY ANIMAL;10,90 US$;;8;;;;;
20073670;7367 STACKING DOLPHIN;22,77 US$;;6;;;;;
20073680;7368 CASTLE W/LIGHT KIT;20,43 US$;;2;;;;;
20073690;7369 HORSE PARTY ANIMAL;12,79 US$;;8;;;;;
20073700;7370  YOUNG PRINCESS;8,80 US$;;8;;;;;
20073710;7371 CASTLE BANK;19,02 US$;;6;;;;;
20073720;7372 SMILEY SHARK BANK;17,71 US$;;6;;;;;
20073730;7373 BUNNY BANK;15,91 US$;;6;;;;;
20073770;7377 PEGASUS;16,79 US$;;6;;;;;
20073780;7378 PEGASUS BIGGIE BANK;13,58 US$;;2;;;;;
20073810;7381 HEDGEHOG PARTY ANIMAL;11,36 US$;;8;;;;;
20073820;7382 SQUIRREL PARTY ANIMAL;11,51 US$;;8;;;;;
20073830;7383 PRINCESS BIGGIE BANK;10,81 US$;;2;;;;;
20073870;7387 DACHSHUND;13,36 US$;;8;;;;;
20073890;7389 - SNOWMAN PARTY ANIMAL;12,04 US$;;8;;;;;
20073940;7394 DAISY BOX;15,42 US$;;8;;;;;
20073970;7397 OCTOPUS BANK;18,26 US$;;6;;;;;
20073980;7398 SHEEP PARTY ANIMAL;10,58 US$;;8;;;;;
20073990;7399 WHALE PARTY ANIMAL;12,10 US$;;8;;;;;
20074010;7401 STANDING DOG BANK;18,29 US$;;6;;;;;
20074030;7403 CAT BANK;18,12 US$;;6;;;;;
20074050;7405 STEGASAURUS BANK;20,52 US$;;6;;;;;
20074070;7407 DACHSHUND BANK;19,12 US$;;6;;;;;
20074080;7408 FIGHTER JET PARTY ANIMAL;12,05 US$;;8;;;;;
20074090;7409 CRAB PARTY ANIMAL;11,67 US$;;8;;;;;
20074110;7411 MERMAID PARTY ANIMAL;11,98 US$;;8;;;;;
20074120;7412 SUGAR SKULL PARTY ANIMAL;12,13 US$;;8;;;;;
20074130;7413 PUG PARTY ANIMAL;10,79 US$;;8;;;;;
20074140;7414 SEA TURTLE PARTY ANIMAL;11,10 US$;;8;;;;;
20074160;7416 - SEA HORSE PARTY ANIMAL;10,83 US$;;8;;;;;
20074180;7418 - LOTUS FAIRY PARTY ANIMAL;11,23 US$;;8;;;;;
20074230;7423 - SUGAR SKULL BANK;14,76 US$;;6;;;;;
20074240;7424 - JACK-O-LANTERN PARTY ANIMAL;12,39 US$;;8;;;;;
20074250;7425 - CHIHUAHUA;10,83 US$;;8;;;;;
20074260;7426 - RACE CAR PARTY ANIMAL;10,27 US$;;8;;;;;
20074270;7427 - SANTA PARTY ANIMAL;11,08 US$;;8;;;;;
20074280;7428 - REINDEER PARTY ANIMAL;11,13 US$;;8;;;;;
20074290;7429 - REALISTIC DRAGON;19,80 US$;;6;;;;;
20074310;7431 - POOP EMOJI BANK;11,95 US$;;6;;;;;
20074320;7432 PARTY POOPER;9,30 US$;;8;;;;;
20074360;7436 - BUNNY FIGURE;11,22 US$;;6;;;;;
20074390;7439 - NARWHAL PARTY ANIMAL;11,36 US$;;8;;;;;
20074420;7442 - PEACOCK PARTY ANIMAL;10,54 US$;;8;;;;;
20074430;7443 - SLOTH PARTY ANIMAL;10,73 US$;;8;;;;;
20074440;7444 - FLAMINGO PARTY ANIMAL;11,42 US$;;8;;;;;
20074450;7445 - LLAMA PARTY ANIMAL;10,73 US$;;8;;;;;
20074460;7446 - SLOTH BANK;13,18 US$;;6;;;;;
20074470;7447 - LlAMA BANK;14,19 US$;;6;;;;;
20074480;7448 - FOX BIGGIE BANK;11,82 US$;;2;;;;;
20074490;7449 - BEAVER PARTY ANIMAL;8,80 US$;;8;;;;;
20074510;7451 - BEAR PARTY ANIMAL;12,61 US$;;8;;;;;
20074520;7452 - EAGLE PARTY ANIMAL;10,42 US$;;8;;;;;
20074530;7453 - NARWHAL BANK;16,85 US$;;6;;;;;
20074540;7454 - GINGERBREAD MAN PARTY ANIMAL;11,36 US$;;8;;;;;
20074550;7455 - DECOR RABBIT;12,91 US$;;6;;;;;
20074560;7456 - TRUCK/TREE BOX;16,55 US$;;4;;;;;
20074570;7457 - TRUCK/TREE PARTY ANIMAL;11,96 US$;;8;;;;;
20074580;7458 - GNOME PARTY ANIMAL;8,33 US$;;8;;;;;
20074590;7459 - TALL HATTED GNOME;17,66 US$;;6;;;;;
20074600;7460 - STACK OF ELEPHANTS;21,28 US$;;6;;;;;
20074610;7461 - DECOR FLAMINGO;16,54 US$;;6;;;;;
20074620;7462 - MAJESTIC EAGLE;11,78 US$;;2;;;;;
20074630;7463 - LLAMA BIGGY BANK;6,17 US$;;2;;;;;
20074640;7464 - LARGE EGG;8,79 US$;;8;;;;;
20074650;7465 - ROOSTER PARTY ANIMAL;11,76 US$;;8;;;;;
20074660;7466 - MANATEE PARTY ANIMAL;13,36 US$;;8;;;;;
20074670;7467 - DRAGON PARTY ANIMAL;17,05 US$;;8;;;;;
20074680;7468 - LUCKY CAT PARTY ANIMAL;10,07 US$;;8;;;;;
20074690;7469 - Lg. TALL HATTED GNOME;12,80 US$;;4;;;;;
20074700;7470 - GNOME AND SNOWMAN HUGGING;15,61 US$;;6;;;;;
20074710;7471 - STEALTH JET PARTY ANIMAL;10,09 US$;;8;;;;;
20074720;7472 - UNICORN NOT SO BIGGY;17,21 US$;;4;;;;;
20074730;7473 - NOT SO BIGGY MERMAID;18,50 US$;;4;;;;;
20074740;7474 -VINTAGE REINDEER;16,13 US$;;8;;;;;
20074750;7475 - NOT SO BIGGY DOG;19,98 US$;;4;;;;;
20074760;7476 - NOT SO BIGGY CAT;20,16 US$;;4;;;;;
20074770;7477 - SLOTH HUGGABLE;15,50 US$;;4;;;;;
20074780;7478 - PENGUIN HUGGABLE;17,58 US$;;4;;;;;
20074790;7479 - UNICORN HUGGABLE;17,99 US$;;4;;;;;
20074800;7480 - HIGHLAND COW PARTY ANIMAL;14,03 US$;;8;;;;;
20074810;7481 - SMALL VINTAGE TRUCK;19,44 US$;;8;;;;;
20074820;7482 - TROPHY PARTY ANIMAL;14,39 US$;;8;;;;;
20074830;7483 - FOX HUGGABLE;14,01 US$;;4;;;;;
20074840;7484 - ELEPHANT HUGGABLE;17,17 US$;;4;;;;;
20074850;7485 - NOT SO BIGGY ELEPHANT;18,75 US$;;4;;;;;
20074860;7486 - HIGHLAND COW NOTSO BIGGY;17,98 US$;;4;;;;;
20074870;7487 - PUG SPLOOT;17,98 US$;;4;;;;;
20074880;7488 - CORGI SPLOOT;17,59 US$;;4;;;;;
20074890;7489 - BUNNY SPLOOT;19,13 US$;;4;;;;;
20074900;7490 - BUNNY HUGGABLE;17,46 US$;;4;;;;;
20074910;7491 - UNICORN SPLOOT;20,42 US$;;4;;;;;
20074920;7492 - GIRAFFE HUGGABLE;20,37 US$;;4;;;;;
20074930;7493 - PUMPKIN PARTY ANIMAL;17,15 US$;;8;;;;;
20074940;7494 - GHOST PARTY ANIMAL;16,18 US$;;8;;;;;
20074950;7495 - MUMMY PARTY ANIMAL;12,03 US$;;8;;;;;
20074960;7496 - BEAR LOVABLE;21,04 US$;;4;;;;;
20074970;7497 - AXOLOTL PARTY ANIMAL;15,82 US$;;8;;;;;
20074980;7498 - KNIGHT PARTY ANIMAL;12,53 US$;;8;;;;;
20074990;7499 - JELLYFISH PARTY ANIMAL;13,40 US$;;8;;;;;
20075000;7500 - MEDITATING SLOTH;28,01 US$;;6;;;;;
20075010;7501 - DRAGONS LAIR LANTERN;15,39 US$;;2;;;;;
20075020;7502 - MEDIEVAL SWORD;42,25 US$;;12;;;;;
20075030;7503 - WIZARD WAND;26,99 US$;;12;;;;;
20075040;7504 - HIGHLAND COW BANK;19,28 US$;;6;;;;;
20075050;7505 - MUSHROOM PLAQUE;18,20 US$;;12;;;;;
20075060;7506 - FRANKENSTEIN PARTY ANIMAL;10,38 US$;;8;;;;;
20075070;7507 - VAMPIRE  PARTY ANIMAL;11,51 US$;;8;;;;;
20075080;7508 - WITCH PARTY ANIMAL;10,69 US$;;8;;;;;
20075090;7509 - Nutcracker party Animal;10,90 US$;;8;;;;;
20075100;7510 - PUG SPLOOT PARTY ANIMAL;12,23 US$;;8;;;;;
20075110;7511 - CORGI SPLOOT PARTY ANIMAL;12,13 US$;;8;;;;;
20075120;7512 - AXOLOTL NOT SO BIGGY;12,49 US$;;4;;;;;
20075130;7513 - FLAT MUSHROOM ORNAMENT;18,20 US$;;24;;;;;
20075140;7514 - PUDGY AXOLOTL BANK;10,33 US$;;6;;;;;
20075150;7515 - PUDGY HIGHLAND COW BANK;10,56 US$;;6;;;;;
20075160;7516 - PUDGY UNICORN BANK;10,56 US$;;6;;;;;
20075170;7517 - AXOLOTL BANK;16,35 US$;;6;;;;;
20075200;7520 - ALIEN PARTY ANIMAL;11,31 US$;;8;;;;;
20075210;7521 - Astronaut Party Animal;14,19 US$;;8;;;;;
20081010;8101 BISQUIES LETTER A;3,37 US$;;12;;;;;
20081020;8102 BISQUIES LETTER B;3,37 US$;;12;;;;;
20081030;8103 BISQUIES LETTER C;3,37 US$;;12;;;;;
20081040;8104 BISQUIES LETTER D;3,37 US$;;12;;;;;
20081050;8105 BISQUIES LETTER E;3,37 US$;;12;;;;;
20081060;8106 BISQUIES LETTER F;3,37 US$;;12;;;;;
20081070;8107 BISQUIES LETTER G;3,37 US$;;12;;;;;
20081080;8108 BISQUIES LETTER H;3,37 US$;;12;;;;;
20081090;8109 BISQUIES LETTER I;3,37 US$;;12;;;;;
20081100;8110 BISQUIES LETTER J;3,37 US$;;12;;;;;
20081110;8111 BISQUIES LETTER K;3,37 US$;;12;;;;;
20081120;8112 BISQUIES LETTER L;3,37 US$;;12;;;;;
20081130;8113 BISQUIES LETTER M;3,37 US$;;12;;;;;
20081140;8114 BISQUIES LETTER N;3,37 US$;;12;;;;;
20081150;8115 BISQUIES LETTER O;3,37 US$;;12;;;;;
20081160;8116 BISQUIES LETTER P;3,37 US$;;12;;;;;
20081170;8117 BISQUIES LETTER Q;3,37 US$;;12;;;;;
20081180;8118 BISQUIES LETTER R;3,37 US$;;12;;;;;
20081190;8119 BISQUIES LETTER S;3,37 US$;;12;;;;;
20081200;8120 BISQUIES LETTER T;3,37 US$;;12;;;;;
20081210;8121 BISQUIES LETTER U;3,37 US$;;12;;;;;
20081220;8122 BISQUIES LETTER V;3,37 US$;;12;;;;;
20081230;8123 BISQUIES LETTER W;3,37 US$;;12;;;;;
20081240;8124 BISQUIES LETTER X;3,37 US$;;12;;;;;
20081250;8125 BISQUIES LETTER Y;3,37 US$;;12;;;;;
20081260;8126 BISQUIES Z;3,37 US$;;12;;;;;
20081370;8137 BISQUIE BASKETBALL;8,97 US$;;12;;;;;
20081380;8138 BISQUIE FOOTBALL;8,97 US$;;12;;;;;
20081390;8139 BISQUIE BASEBALL;8,97 US$;;12;;;;;
20081400;8140 BISQUIE SOCCER;8,97 US$;;12;;;;;
20081410;8141 BISQUIE GECKO;8,97 US$;;12;;;;;
20081420;8142 BISQUIE FROG;4,84 US$;;12;;;;;
20081430;8143 BISQUIE TURTLE;4,84 US$;;12;;;;;
20081490;8149 BISQUIES TEDDY BEAR;4,84 US$;;12;;;;;
20081500;8150 BISQUIES DOG FACE;3,37 US$;;12;;;;;
20081510;8151 BISQUIES CAT FACE;3,37 US$;;12;;;;;
20081520;8152 BISQUIES DOG BONE;4,84 US$;;12;;;;;
20081530;8153 CHRISTMAS TREE;4,84 US$;;12;;;;;
20081540;8154 SNOWMAN;4,84 US$;;12;;;;;
20081550;8155 PENGUIN;4,84 US$;;12;;;;;
20081560;8156 CROSS;3,37 US$;;12;;;;;
20081570;8157 PUMPKIN;4,84 US$;;12;;;;;
20081600;8160 HEART;3,37 US$;;12;;;;;
20081610;8161 BISQUIES DAISY;4,84 US$;;12;;;;;
20081630;8163 BISQUIES ROSE;3,37 US$;;12;;;;;
20081640;8164 BISQUIES SUNFLOWER;8,97 US$;;12;;;;;
20081690;8169 STARFISH BISQUIE;4,84 US$;;12;;;;;
20081700;8170 SAND DOLLAR BISQUIE;4,84 US$;;12;;;;;
20081710;8171 CONCH SHELL BISQUIE;4,84 US$;;12;;;;;
20081720;8172 SCALLOP SHELL BISQUIE;4,84 US$;;12;;;;;
20081730;8173 DOLPHIN BISQUIE;8,97 US$;;12;;;;;
20081740;8174 MED. TROPICAL FISH;4,84 US$;;12;;;;;
20081760;8176 FLIP FLOPS BISQUIE;4,84 US$;;12;;;;;
20081780;8178 PALM TREE BISQUIE;8,97 US$;;12;;;;;
20081800;8180 BUTTERFLY BISQUIE;8,97 US$;;12;;;;;
20081810;8181 DRAGONFLY BISQUIE;8,97 US$;;12;;;;;
20081820;8182 LADYBUG BISQUE;4,84 US$;;12;;;;;
20081850;8185 LARGE STAR BISQUIE;7,56 US$;;12;;;;;
20081860;8186 SMALL STAR BISQUIE;5,35 US$;;12;;;;;
20081890;8189 LARGE HEART BISQUIE;7,56 US$;;12;;;;;
20081900;8190 SMALL HEART BISQUIE;5,35 US$;;12;;;;;
20081910;8191 LARGE FUNKY FLOWER;7,56 US$;;12;;;;;
20081920;8192 SMALL FUNKY FLOWER;5,35 US$;;12;;;;;
20081930;8193 LARGE RIBBON BISQUIE;7,32 US$;;12;;;;;
20081950;8195 CUPCAKE BISQUIE;5,24 US$;;12;;;;;
20081960;8196 1 1/2 ROUND BISQUIE;3,78 US$;;12;;;;;
20081970;8197 2 ROUND BISQUIE;4,19 US$;;12;;;;;
20081990;8199 GIFT TAG BISQUIE;5,67 US$;;12;;;;;
20082010;8201 2 SQUARE BISQUIE;4,19 US$;;12;;;;;
20082020;8202 3 SQUARE BISQUIE;6,71 US$;;12;;;;;
20082030;8203 ICE CREAM CONE BISQUIE;5,87 US$;;12;;;;;
20082040;8204 OWL BISQUIE;4,69 US$;;12;;;;;
20082080;8208 LARGE SPLATTER BISQUIE;6,04 US$;;12;;;;;
20082090;8209 SMALL SPLATTER BISQUIE;4,82 US$;;12;;;;;
20082100;8210 BISQUIE OAK LEAF;5,67 US$;;12;;;;;
20082110;8211 MAPLE LEAF BISQUIE;6,71 US$;;12;;;;;
20082120;8212 OVAL LEAF BISQUIE;5,45 US$;;12;;;;;
20082140;8214 - 2 3/8 TEXTURE TILE BISQUIE;5,08 US$;;12;;;;;
20082150;8215 - POOP BISQUIE;4,90 US$;;12;;;;;
30495540;NTG-9554 4OZ SNOW STORM;2,70 US$;;1;;;;;
30495550;NTG-9555 4OZ MAGIC FLOW;2,62 US$;;1;;;;;
30495560;AS 9556 4OZ NO FIRE TEXTURED SNOW;2,70 US$;;1;;;;;
30623000;FS-2300 8 OZ POLAR BEAR;4,44 US$;;1;;;;;
30623010;FS-2301 8 OZ SMILEY FACE;4,44 US$;;1;;;;;
30623020;FS-2302 8 OZ ORANGE PEEL;4,44 US$;;1;;;;;
30623030;FS-2303 8 OZ LIME RICKY;4,44 US$;;1;;;;;
30623040;FS-2304 8 OZ GREEN ACRES;4,44 US$;;1;;;;;
30623050;FS-2305 8 OZ BLUE HEAVEN;4,44 US$;;1;;;;;
30623060;FS-2306 8 OZ BLUE-BY-U;4,44 US$;;1;;;;;
30623080;FS-2308 8 OZ IN THE PINK;4,44 US$;;1;;;;;
30623090;FS-2309 8 OZ RED ROVER;4,44 US$;;1;;;;;
30623100;FS-2310 8 OZ TEAL TOMORROW;4,44 US$;;1;;;;;
30623110;FS-2311 8 OZ THE COLOR PURPLE;4,44 US$;;1;;;;;
30623120;FS-2312 8 OZ BLACK RASPBERRY;4,44 US$;;1;;;;;
30623130;FS-2313 8 OZ HAPPY TRAILS;4,44 US$;;1;;;;;
30623140;FS-2314 8 OZ BLACK LAB;4,44 US$;;1;;;;;
30623150;FS-2315 8 OZ WHAT A YOLK;4,44 US$;;1;;;;;
30623170;FS-2317 8 OZ ARIZONA SUN;4,44 US$;;1;;;;;
30623180;FS-2318 8 OZ BISQ-OTTI;4,44 US$;;1;;;;;
30623190;FS-2319 8 OZ THIS LI'L PIGGY;4,44 US$;;1;;;;;
30623200;FS-2320 8 OZ GRAPE ESCAPE;4,44 US$;;1;;;;;
30623230;FS-2323 8 OZ JUMPIN' JUNIPER;4,44 US$;;1;;;;;
30623240;FS-2324 8 OZ HINT-O-MINT;4,44 US$;;1;;;;;
30623250;FS-2325 8 OZ HAPPY GO LUCKY;4,44 US$;;1;;;;;
30623270;FS-2327 8 OZ BLAZING SADDLE;4,44 US$;;1;;;;;
30623280;FS-2328 8 OZ MOCHA-CHINO;4,44 US$;;1;;;;;
30623290;FS-2329 8 OZ HI HO SILVER;4,44 US$;;1;;;;;
30623350;FS-2335 8 OZ TICKLED PINK;4,44 US$;;1;;;;;
30623360;FS-2336 8 OZ WINEONA;4,44 US$;;1;;;;;
30623370;FS-2337 8 OZ LI'L BOY BLUE;4,44 US$;;1;;;;;
30623380;FS-2338 8 OZ GALAXY;4,44 US$;;1;;;;;
30623400;FS-2340 8 OZ DOUBLE MINT;4,44 US$;;1;;;;;
30623410;FS-2341 8 OZ KERMIT;4,44 US$;;1;;;;;
30623420;FS-2342 8 OZ M.A.S.H.;4,44 US$;;1;;;;;
30623430;FS-2343 8 OZ PEACHY KEEN;4,44 US$;;1;;;;;
30623490;FS-2349 8 OZ TWEETY BIRD;4,44 US$;;1;;;;;
30623500;FS-2350 8 OZ GOLDEN RETRIEVER;4,44 US$;;1;;;;;
30623530;FS-2353 8 OZ GRAPE SLUSH;4,44 US$;;1;;;;;
30623540;FS-2354 8 OZ SOMETHING BLUE;4,44 US$;;1;;;;;
30623550;FS-2355 8 OZ NANTUCKET BLUE;4,44 US$;;1;;;;;
30623590;FS-2359 8 OZ LIME LIGHT;4,44 US$;;1;;;;;
30623610;FS-2361 8 OZ LEAP FROG;4,44 US$;;1;;;;;
30623640;FS-2364 8 OZ BUTTERSCOTCH;4,44 US$;;1;;;;;
30623650;FS-2365 8OZ NOT QUITE WHITE;4,44 US$;;1;;;;;
30623660;FS-2366 8 OZ CHOCOLATE MOOSE;4,44 US$;;1;;;;;
30623670;FS-2367 8OZ TAUPE OF THE MORNIN';4,44 US$;;1;;;;;
30623680;FS-2368 8 OZ OLD YELLER;4,44 US$;;1;;;;;
30623690;FS-2369 8 OZ CREAM PUFF;4,44 US$;;1;;;;;
30623700;FS-2370 8 OZ NUTTY 4 U;4,44 US$;;1;;;;;
30623710;FS-2371 8 OZ COFFEE-N-CREAM;4,44 US$;;1;;;;;
30623720;FS-2372 8 OZ MOCHA FUDGE;4,44 US$;;1;;;;;
30623730;FS-2373 8 OZ KEY LIME PIE;4,44 US$;;1;;;;;
30623740;FS-2374 8 OZ BLUE ICE;4,44 US$;;1;;;;;
30623750;FS-2375 8 OZ JUMPIN' JELLY;4,44 US$;;1;;;;;
30623760;FS-2376 8 OZ BOUNCIN' BERRY;4,44 US$;;1;;;;;
30623770;FS-2377 8 OZ PUMPKIN PIE;4,44 US$;;1;;;;;
30623780;FS-2378 8 OZ PEA SOUP;4,44 US$;;1;;;;;
30623790;FS-2379 8 OZ SIMPLY CINNAMON;4,44 US$;;1;;;;;
30623810;FS-2381 8 OZ BEBOPPIN' BLUE;4,44 US$;;1;;;;;
30623820;FS-2382 8 OZ TAHITI TEAL;4,44 US$;;1;;;;;
30623830;FS-2383 8 OZ MELLOW YELLOW;4,44 US$;;1;;;;;
30623840;FS-2384 8 OZ PINKIE WINKIE;4,44 US$;;1;;;;;
30623850;FS-2385 8 OZ SWEET PEA;4,44 US$;;1;;;;;
30623860;FS-2386 8 OZ PAIL BLUE;4,44 US$;;1;;;;;
30623870;FS-2387 8 OZ POOL PARTY;4,44 US$;;1;;;;;
30623880;FS-2388 8 OZ PEACH FUZZ;4,44 US$;;1;;;;;
30623890;FS-2389 8 OZ SAMMY SALMON;4,44 US$;;1;;;;;
30623900;FS-2390 8 OZ ORANGE CRUSH;4,44 US$;;1;;;;;
30623910;FS-2391 8 OZ RED BLAZE;4,44 US$;;1;;;;;
30623920;FS-2392 8 OZ ROCKIN' RED;4,44 US$;;1;;;;;
30623930;FS-2393 8OZ PRETTY IN PINK;4,44 US$;;1;;;;;
30623940;FS-2394 8OZ COTTON CANDY;4,44 US$;;1;;;;;
30623950;FS-2395 8OZ TIN MAN;4,44 US$;;1;;;;;
30623960;FS-2396 8OZ ANCHORS AWAY;4,44 US$;;1;;;;;
30623970;FS-2397 8OZ TANGY TANGERINE;4,44 US$;;1;;;;;
30623980;FS-2398 8OZ TEAL WE MEET AGAIN;4,44 US$;;1;;;;;
30623990;FS-2399 8OZ BLU-TEAL-FUL;4,44 US$;;1;;;;;
30723000;FS-2300 PINT POLAR BEAR;8,56 US$;;1;;;;;
30723010;FS-2301 PINT SMILEY FACE;8,56 US$;;1;;;;;
30723020;FS-2302 PINT ORANGE PEEL;8,56 US$;;1;;;;;
30723030;FS-2303 PINT LIME RICKY;8,56 US$;;1;;;;;
30723040;FS-2304 PINT GREEN ACRES;8,56 US$;;1;;;;;
30723050;FS-2305 PINT BLUE HEAVEN;8,56 US$;;1;;;;;
30723060;FS-2306 PINT BLUE-BY-U;8,56 US$;;1;;;;;
30723080;FS-2308 PINT IN THE PINK;8,56 US$;;1;;;;;
30723090;FS-2309 PINT RED ROVER;8,56 US$;;1;;;;;
30723100;FS-2310 PINT TEAL TOMORROW;8,56 US$;;1;;;;;
30723110;FS-2311 PINT THE COLOR PURPLE;8,56 US$;;1;;;;;
30723120;FS-2312 PINT BLACK RASPBERRY;8,56 US$;;1;;;;;
30723130;FS-2313 PINT HAPPY TRAILS;8,56 US$;;1;;;;;
30723140;FS-2314 PINT BLACK LAB;8,56 US$;;1;;;;;
30723150;FS-2315 PINT WHAT A YOLK;8,56 US$;;1;;;;;
30723170;FS-2317 PINT ARIZONA SUN;8,56 US$;;1;;;;;
30723180;FS-2318 PINT BISQ-OTTI;8,56 US$;;1;;;;;
30723190;FS-2319 PINT THIS LI'L PIGGY;8,56 US$;;1;;;;;
30723200;FS-2320 PINT GRAPE ESCAPE;8,56 US$;;1;;;;;
30723230;FS-2323 PINT JUMPIN' JUNIPER;8,56 US$;;1;;;;;
30723240;FS-2324 PINT HINT-O-MINT;8,56 US$;;1;;;;;
30723250;FS-2325 PINT HAPPY GO LUCKY;8,56 US$;;1;;;;;
30723270;FS-2327 PINT BLAZZING SADDLE;8,56 US$;;1;;;;;
30723280;FS-2328 PINT MOCHA-CHINO;8,56 US$;;1;;;;;
30723290;FS-2329 PINT HI HO SILVER;8,56 US$;;1;;;;;
30723350;FS-2335 PINT TICKLED PINK;8,56 US$;;1;;;;;
30723360;FS-2336 PINT WINEONA;8,56 US$;;1;;;;;
30723370;FS-2337 PINT LI'L BOY BLUE;8,56 US$;;1;;;;;
30723380;FS-2338 PINT GALAXY;8,56 US$;;1;;;;;
30723400;FS-2340 PINT DOUBLE MINT;8,56 US$;;1;;;;;
30723410;FS-2341 PINT KERMIT;8,56 US$;;1;;;;;
30723420;FS-2342 PINT M.A.S.H.;8,56 US$;;1;;;;;
