Patrik Order Form;;;;;;;;;
Date: ;;;;;;;;;
Est. delivery Date: ;;;Primary;;Total;;;;End
Part;Part Desc;Price List Price;Order QTY;Parts Per Container;;;;;
20030820;3082 - SIMPLY COTTAGE SMALL RECT. PLATTER;23,31 US$;;6;;;;;
20030830;3083 - SIMPLY COTTAGE MED. RECT. PLATTER;27,42 US$;;6;;;;;
20030840;3084 - SIMPLY COTTAGE LG. RECT. PLATTER;20,05 US$;;4;;;;;
20030850;"3085 - 15"" SQUIRCLE SQUARE PLATTER";26,30 US$;;4;;;;;
20030870;3087 - FRESH BAKED COOKIES TRAY;13,47 US$;;4;;;;;
20031010;"3101 15"" CLASSIC COUPE PLATTER";34,84 US$;;6;;;;;
20031030;3103 SHARK CHIP-N-DIP;18,07 US$;;2;;;;;
20040010;4001 ESPRESSO CUP W/SAUCER;19,28 US$;;12;;;;;
20040030;4003 LARGE MUG - TWENTY OUNCE;14,34 US$;;8;;;;;
20040040;4004 CONE/FLARE MUG;12,91 US$;;8;;;;;
20040050;4005 TALL CONE/FLARE MUG;12,45 US$;;8;;;;;
20040090;4009 JUMBO MUG;17,89 US$;;8;;;;;
20040100;4010 PEN CUP W/LIP;33,06 US$;;24;;;;;
20040120;4012 EGG CUP;7,76 US$;;12;;;;;
20040130;4013 SAUCE CUP;35,25 US$;;24;;;;;
20040150;4015 MEDIUM  PITCHER;22,46 US$;;6;;;;;
20040180;4018 VASE W/SCALLOPED EDGE;30,94 US$;;6;;;;;
20040190;4019 WINE COOLER;26,24 US$;;6;;;;;
20040200;4020 UTENSIL HOLDER;21,04 US$;;9;;;;;
20040250;4025 ROUND MUG;13,51 US$;;8;;;;;
20040260;4026 BARREL MUG;12,14 US$;;8;;;;;
20040270;4027 CAPPUCCINO MUG & SAUCER;29,63 US$;;8;;;;;
20040330;4033 BEER MUG;18,23 US$;;8;;;;;
20040350;4035 BOW WOW DOG TREAT JAR W/GASKET;25,35 US$;;4;;;;;
20040370;4037 TAPERED TEA CUP AND SAUCER;28,72 US$;;8;;;;;
20040380;4038 JELLY BELLY MUG;17,23 US$;;8;;;;;
20040430;4043 SMALL CANISTER W/GASKET;29,71 US$;;6;;;;;
20040440;4044 MEDIUM CANISTER W/GASKET;35,98 US$;;6;;;;;
20040450;4045 LARGE CANISTER W/GASKET;29,76 US$;;4;;;;;
20040470;4047 TEAPOT;24,63 US$;;6;;;;;
20040480;4048 SUGAR BOWL W/NOTCHED LID;11,15 US$;;8;;;;;
20040490;4049 CREAMER;8,92 US$;;8;;;;;
20040500;4050 SALT & PEPPER SET  W/STOPPERS;10,59 US$;;8;;;;;
20040570;4057 TEA FOR ONE;19,89 US$;;6;;;;;
20040630;4063 CAPE MUG;12,48 US$;;8;;;;;
20040640;4064 LODGE MUG;15,86 US$;;8;;;;;
20040650;4065 SWOOP MUG;16,28 US$;;8;;;;;
20040680;4068 SAYINGS POT;20,87 US$;;6;;;;;
20040690;4069 DOG ANIMUG;15,02 US$;;8;;;;;
20040730;4073 MOCHA MUG;15,15 US$;;8;;;;;
20040740;4074 CAFE MUG;13,96 US$;;8;;;;;
20040750;4075 MINI CAPE MUG;14,93 US$;;12;;;;;
20040760;4076 MINI LODGE MUG;16,71 US$;;12;;;;;
20040780;4078 LARGE SAYINGS POT;20,29 US$;;4;;;;;
20040790;4079 HEART MUG;12,67 US$;;8;;;;;
20040810;4081 HAND THROWN ROUND MUG;16,06 US$;;8;;;;;
20040820;4082 HAND THROWN VASE;26,90 US$;;8;;;;;
20040840;4084 MESSAGE MUG;15,02 US$;;8;;;;;
20040890;4089 BEER STEIN;16,41 US$;;8;;;;;
20040910;4091 SNOWMAN COOKIE JAR;7,36 US$;;1;;;;;
20040950;4095 PUMPKIN TUREEN;23,61 US$;;4;;;;;
20040960;4096 SANTA MUG;16,74 US$;;8;;;;;
20040970;4097 SNOWMAN MUG;16,74 US$;;8;;;;;
20040980;4098 REINDEER ANIMUG;16,74 US$;;8;;;;;
20040990;4099 GOBLET;19,69 US$;;8;;;;;
20041000;4100 WHITE WINE GOBLET;17,99 US$;;8;;;;;
20041010;4101 RED WINE GOBLET;17,72 US$;;8;;;;;
20041030;4103 MARGARITA;22,76 US$;;8;;;;;
20041040;4104 DINER MUG;11,00 US$;;8;;;;;
20041050;4105 I LOVE YOU MOM MUG;15,45 US$;;8;;;;;
20041060;4106 I LOVE YOU DAD MUG;15,45 US$;;8;;;;;
20041080;4108 FLARE GOBLET;18,84 US$;;8;;;;;
