
  Hantverk o Keramikcenter AB
 556507-6253
 Period 2023-09-01 - 2024-09-30   Artikelstatistik 	  Utskrivet 2024-09-03 13:13
 Artikelfilter - Artiklar: GA-  
  Art.nr 	  Benämning 	  Belopp 	  Antal 	  % andel 	    	 
   	 
  GA-2029 	  Mellanstorsalladsskål 25 cm - 4 st. 	  1 488,92 	  6 	  0,3% 	  
   	 
  GA-2030 	  Skål med fot 13 cm - 8 st. 	  1 542,00 	  6 	  0,3% 	  
   	 
  GA-2077 	  Liten båtskål - 8 st. 	  2 478,11 	  6 	  0,3% 	  
   	 
  GA-2125 	  Ugglasskål - 8 st 	  1 917,03 	  6 	  0,3% 	  
   	 
  GA-2156 	  Liten skål med fötter - 8 st. 	  1 521,60 	  6 	  0,3% 	  
   	 
  GA-4048 	  Sockerskål med lock - 8 st. 	  1 321,60 	  6 	  0,3% 	  
   	 
  GA-4198 	  Sjöjungfru mugg - 6 st. 	  1 429,99 	  6 	  0,3% 	  
   	 
  GA-4207 	  Camping mugg - 8 st. 	  2 457,52 	  6 	  0,3% 	  
   	 
  GA-4503 	  Kontorsmugg - 12 st. 	  1 934,40 	  6 	  0,3% 	  
   	 
  GA-5033 	  Ringhållare - 12 st. 	  2 510,40 	  6 	  0,3% 	  
   	 
  GA-5135 	  Peace Ord - 6 st 	  1 573,80 	  6 	  0,3% 	  
   	 
  GA-5230 	  Julgran - 12 st. 	  1 246,00 	  6 	  0,3% 	  
   	 
  GA-5302 	  Ägg lykta - 4 st 	  1 386,00 	  6 	  0,3% 	  
   	 
  GA-5318 	  Pumpa - 4 st 	  2 505,60 	  6 	  0,3% 	  
   	 
  GA-5390 	  Tomtefar och tomtemor - 6 st. 	  2 484,04 	  6 	  0,3% 	  
   	 
  GA-5409 	  Mumie lykta - 4 st. 	  1 282,97 	  6 	  0,3% 	  
   	 
  GA-5417 	  Butik lykta - 4 st 	  1 890,00 	  6 	  0,3% 	  
   	 
  GA-7025 	  Katt  10 cm - 6 st 	  1 583,20 	  6 	  0,3% 	  
   	 
  GA-7057 	  Fotboll sparbössa - 6 st 	  1 390,76 	  6 	  0,3% 	  
   	 
  GA-7071 	  Stor julgranskula - 12 st 	  1 656,00 	  6 	  0,3% 	  
   	 
  GA-8196 	  Rund 3,8 cm - 12 st 	  491,24 	  6 	  0,3% 	  
   	 
  GA-8199 	  Presentetikett - 12 st 	  725,40 	  6 	  0,3% 	  
   	 
  GA-1613 	  Assiett med kant - 24 st. 	  3 484,96 	  5 	  0,2% 	  
   	 
  GA-2028 	  Liten salladsskål 20 cm - 8 st. 	  1 843,00 	  5 	  0,2% 	  
   	 
  GA-3009 	  Hjärttallrik - 6 st. 	  2 159,55 	  5 	  0,2% 	  
   	 
  GA-3044 	  Rektangulär bricka - 4 st 	  1 970,00 	  5 	  0,2% 	  
   	 
  GA-3079 	  Bananblad fat - 4 st. 	  2 027,20 	  5 	  0,2% 	  
   	 
  GA-4103 	  Margarita Glas - 8 st. 	  1 543,00 	  5 	  0,2% 	  
   	 
  GA-4116 	  Mini mugg - 8 st. 	  451,96 	  5 	  0,2% 	  
   	 
  GA-4183 	  Pås vas - 8 st 	  967,96 	  5 	  0,2% 	  
   	 
  GA-4237 	  Gropig mugg - 8 st. 	  1 570,00 	  5 	  0,2% 	  
   	 
  GA-5008 	  Rund burk - 6 st. 	  979,96 	  5 	  0,2% 	  
   	 
  GA-5121 	  Polkagrishänge - 24 st. 	  1 211,00 	  5 	  0,2% 	  
   	 
  GA-5203 	  Cylinderformad lykta - 4 st 	  1 704,00 	  5 	  0,2% 	  
   	 
  GA-5282 	  Häxhat lykta - 4 st 	  1 685,38 	  5 	  0,2% 	  
   	 
  GA-5283 	  Spöklykta - 4 st. 	  1 364,00 	  5 	  0,2% 	  
   	 
  GA-5307 	  Elefant kruka - 8 st 	  900,33 	  5 	  0,2% 	  
   	 
  GA-7046 	  Sjöjungfru - 8 st 	  1 130,00 	  5 	  0,2% 	  
   	 
  GA-7074 	  Stor hjärtburk - 8 st 	  1 232,07 	  5 	  0,2% 	  
   	 
  GA-7075 	  Mellanstor hjärtburk - 8 st 	  952,46 	  5 	  0,2% 	  
   	 
  GA-7116 	  Kanin burk - 6 st 	  992,04 	  5 	  0,2% 	  
   	 
  GA-7250 	  Söt T-Rex - 8 st 	  1 159,00 	  5 	  0,2% 	  
   	 
  GA-7265 	  Sittande Enhörning - 8 st 	  1 200,00 	  5 	  0,2% 	  
   	 
  GA-7350 	  Gullig gris sparbössa - 6 st 	  1 115,67 	  5 	  0,2% 	  
   	 
  GA-8192 	  Blomma - 12 st 	  570,00 	  5 	  0,2% 	  
   	 
  GA-1031 	  Desserttallrik utan kant - 12 st. 	  1 155,97 	  4 	  0,2% 	  
   	 
  GA-1601 	  Tallrik med kant - 12 st. 	  2 132,00 	  4 	  0,2% 	  
   	 
  GA-2032 	  Hög frukostskål 15 cm - 8 st. 	  965,96 	  4 	  0,2% 	  
   	 
  GA-2051 	  Hjärtskål - 8 st. 	  1 283,36 	  4 	  0,2% 	  
   	 
  GA-2069 	  Mellanstor skål 20 cm - 6 st 	  1 576,00 	  4 	  0,2% 	  
   	 
  GA-2106 	  Stor Popcorn skål - 4 st. 	  1 862,40 	  4 	  0,2% 	  
   	 
  GA-2142 	  Frukostskål 14 cm - 24 st. 	  3 254,00 	  4 	  0,2% 	  
   	 
  GA-2150 	  Cottage serveringsskål - 6 st. 	  1 168,00 	  4 	  0,2% 	  
   	 
  GA-3014 	  Mini skål - 12 st. 	  1 367,52 	  4 	  0,2% 	  
   	 
  GA-3033 	  Äggfat - 6 st. 	  2 371,20 	  4 	  0,2% 	  
   	 
  GA-3067 	  Rektangulär tallrik - 6 st. 	  1 686,43 	  4 	  0,2% 	  
   	 
  GA-3068 	  Rektangulärt fat - 4 st. 	  1 975,00 	  4 	  0,2% 	  
   	 
  GA-4001 	  Espressomugg med fat - 12 st. 	  1 543,99 	  4 	  0,2% 	  
   	 
  GA-4013 	  Miniskål 9 cm - 24 st. 	  2 416,00 	  4 	  0,2% 	  
   	 
  GA-4027 	  Cappuccinomugg med fat - 8 st. 	  2 096,00 	  4 	  0,2% 	  
   	 
  GA-4038 	  Rund, välvd mugg - 8 st. 	  1 264,00 	  4 	  0,2% 	  
   	 
  GA-4043 	  Liten burk med lock - 6 st. 	  2 595,20 	  4 	  0,2% 	  
   	 
  GA-4105 	  Love Mom Mugg - 8 st. 	  1 293,75 	  4 	  0,2% 	  
   	 
  GA-4106 	  Love Dad Mugg - 8 st. 	  1 279,91 	  4 	  0,2% 	  
   	 
  GA-4130 	  Skrynklig plastmugg - 6 st. 	  739,20 	  4 	  0,2% 	  
   	 
  GA-4146 	  Mugg pärlhandtag - 8 st. 	  1 020,00 	  4 	  0,2% 	  
   	 
  GA-4181 	  Flask vas - 8 st 	  774,32 	  4 	  0,2% 	  
   	 
  GA-4188 	  Pumpa mugg - 6 st. 	  874,24 	  4 	  0,2% 	  
   	 
  GA-4222 	  Mason tillbringare 1 liter - 4 st. 	  1 155,67 	  4 	  0,2% 	  
   	 
  GA-4235 	  Dinosaurie mugg - 6 st. 	  1 564,31 	  4 	  0,2% 	  
   	 
  GA-5062 	  Julgranshänge strumpa - 24 st. 	  1 070,00 	  4 	  0,2% 	  
   	 
  GA-5080 	  Pepparkakshänge - 24 st 	  1 171,20 	  4 	  0,2% 	  
   	 
  GA-5239 	  Hängande lykta - 8 st 	  1 040,00 	  4 	  0,2% 	  
   	 
  GA-5245 	  Dance Ord - 6 st 	  914,40 	  4 	  0,2% 	  
   	 
  GA-5249 	  Dansande julgranlykta - 8 st. 	  1 856,00 	  4 	  0,2% 	  
   	 
  GA-5277 	  Liten syltglas lykta med stjärnor - 8 st 	  1 184,00 	  4 	  0,2% 	  
   	 
  GA-5304 	  Hängande mussellykta - 8 st. 	  1 113,61 	  4 	  0,2% 	  
   	 
  GA-5342 	  Tomtelykta - 4 st. 	  1 236,00 	  4 	  0,2% 	  
   	 
  GA-5345 	  Prisma vas - 4 st 	  1 251,24 	  4 	  0,2% 	  
   	 
  GA-5408 	  Nötknäpparen lykta - 4 st 	  1 721,64 	  4 	  0,2% 	  
   	 
  GA-7110 	  Regnbåge sparbössa - 6 st 	  776,65 	  4 	  0,2% 	  
   	 
  GA-7165 	  Pingvin sparbössa - 6 st 	  596,09 	  4 	  0,2% 	  
   	 
  GA-7173 	  Älva på månen - 6 st 	  1 100,03 	  4 	  0,2% 	  
   	 
  GA-7334 	  Liten uggleburk - 8 st 	  1 064,00 	  4 	  0,2% 	  
   	 
  GA-7347 	  Gullig katt sparbössa - 6 st 	  825,60 	  4 	  0,2% 	  
   	 
  GA-7348 	  Gullig elefant sparbössa - 6 st 	  886,40 	  4 	  0,2% 	  
   	 
  GA-8203 	  Glass - 12 st 	  499,60 	  4 	  0,2% 	  
   	 
  GA-1013 	  Fat utan kant - 6 st. 	  1 473,60 	  3 	  0,1% 	  
   	 
  GA-1604 	  Tallrik utan kant - 12 st. 	  1 248,08 	  3 	  0,1% 	  
   	 
  GA-1616 	  Tallrik utan kant - 24 st. 	  2 690,40 	  3 	  0,1% 	  
   	 
  GA-2012 	  Blomskål 16,5 cm - 12 st. 	  2 154,00 	  3 	  0,1% 	  
   	 
  GA-2020 	  Stor hundskål 25 cm - 3 st. 	  741,60 	  3 	  0,1% 	  
   	 
  GA-2027 	  Liten skål 15 cm - 8 st. 	  896,86 	  3 	  0,1% 	  
   	 
  GA-2079 	  Fruktskål - 6 st. 	  1 210,40 	  3 	  0,1% 	  
   	 
  GA-2097 	  Stor bollskål - 6 st. 	  1 751,60 	  3 	  0,1% 	  
   	 
  GA-2118 	  Skvätt skål - 6 st 	  805,00 	  3 	  0,1% 	  
   	 
  GA-3001 	  Ovalt fisk fat - 12 st 	  2 578,00 	  3 	  0,1% 	  
   	 
  GA-3003 	  Ovalt fat - 6 st. 	  2 385,99 	  3 	  0,1% 	  
   	 
  GA-3082 	  Cottage fat 12,5 cm - 6 st. 	  1 431,00 	  3 	  0,1% 	  
   	 
  GA-4073 	  Mocka mugg - 8 st. 	  840,00 	  3 	  0,1% 	  
   	 
  GA-4095 	  Pumpa burk - 4 st. 	  1 450,00 	  3 	  0,1% 	  
   	 
  GA-4104 	  Mugg med litet öra - 8 st. 	  636,00 	  3 	  0,1% 	  
   	 
  GA-4143 	  Flaska för matolja - 6 st. 	  1 169,95 	  3 	  0,1% 	  
   	 
  GA-4190 	  Prisma Mugg - 6 st. 	  710,40 	  3 	  0,1% 	  
   	 
  GA-4201 	  Drake mugg - 6 st. 	  1 106,36 	  3 	  0,1% 	  
   	 
  GA-4211 	  Narval mugg - 6 st. 	  669,69 	  3 	  0,1% 	  
   	 
  GA-4216 	  Cottage mugg - 8 st. 	  1 003,96 	  3 	  0,1% 	  
   	 
  GA-4217 	  Camping mugg hög - 8 st. 	  1 170,00 	  3 	  0,1% 	  
   	 
  GA-4218 	  Flamingo Mugg - 6 st. 	  915,46 	  3 	  0,1% 	  
   	 
  GA-4223 	  Burk med bambu lock - 6 st. 	  1 344,00 	  3 	  0,1% 	  
   	 
  GA-4231 	  Prisma mugg - 8 st. 	  833,97 	  3 	  0,1% 	  
   	 
  GA-5039 	  Förvaringsbricka - 6 st. 	  1 215,00 	  3 	  0,1% 	  
   	 
  GA-5083 	  Julgranshänge Stjärna - 24 st. 	  828,00 	  3 	  0,1% 	  
   	 
  GA-5136 	  Pepparkakstallrik - 6 st. 	  873,00 	  3 	  0,1% 	  
   	 
  GA-5138 	  Platt julgranskula - 12 st 	  794,96 	  3 	  0,1% 	  
   	 
  GA-5156 	  Hjärta hänge - 24  st 	  897,00 	  3 	  0,1% 	  
   	 
  GA-5196 	  Liten ugglalykta - 8 st. 	  943,20 	  3 	  0,1% 	  
   	 
  GA-5216 	  Mini julgran - 12 st 	  339,00 	  3 	  0,1% 	  
   	 
  GA-5217 	  Mini muffin - 12 st 	  341,16 	  3 	  0,1% 	  
   	 
  GA-5233 	  Julgranslykta - 8 st. 	  1 306,00 	  3 	  0,1% 	  
   	 
  GA-5254 	  Val Disksvamphållare - 6 st 	  597,00 	  3 	  0,1% 	  
   	 
  GA-5288 	  Stjärna lykta - 4 st. 	  749,00 	  3 	  0,1% 	  
   	 
  GA-5331 	  Ananas kruka - 8 st 	  660,00 	  3 	  0,1% 	  
   	 
  GA-5338 	  Julgranshänge pepparkakshus - 24 st. 	  1 108,60 	  3 	  0,1% 	  
   	 
  GA-5356 	  Trollslända lykta - 4 st. 	  891,00 	  3 	  0,1% 	  
   	 
  GA-5380 	  Tupp - 2 st 	  695,98 	  3 	  0,1% 	  
   	 
  GA-5393 	  Svamplykta - 6 st. 	  1 324,80 	  3 	  0,1% 	  
   	 
  GA-5400 	  Liten kruka - Djur - 6 st 	  825,00 	  3 	  0,1% 	  
   	 
  GA-7024 	  Hund - 6 st. 	  840,00 	  3 	  0,1% 	  
   	 
  GA-7070 	  Liten julgranskula - 24 st 	  1 374,00 	  3 	  0,1% 	  
   	 
  GA-7174 	  Älva på enhörning - 6 st 	  883,00 	  3 	  0,1% 	  
   	 
  GA-7251 	  Groda - 8 st 	  681,00 	  3 	  0,1% 	  
   	 
  GA-7267 	  Flygplan - 8 st 	  717,00 	  3 	  0,1% 	  
   	 
  GA-7337 	  Kanin - 8 st 	  657,60 	  3 	  0,1% 	  
   	 
  GA-7349 	  Gullig pingvin sparbössa - 6 st 	  597,15 	  3 	  0,1% 	  
   	 
  GA-7356 	  Liten räv - 8 st 	  645,00 	  3 	  0,1% 	  
   	 
  GA-7377 	  Stor Pegasus - 6 st 	  1 046,40 	  3 	  0,1% 	  
   	 
  GA-7389 	  Snögubbe 10 cm - 8 st 	  430,04 	  3 	  0,1% 	  
   	 
  GA-7464 	  Stort ägg - 8 st 	  498,00 	  3 	  0,1% 	  
   	 
  GA-7480 	  Highland Kossa - 8 st 	  663,00 	  3 	  0,1% 	  
   	 
  GA-1002 	  Tallrik med kant - 12 st. 	  1 331,00 	  2 	  0,1% 	  
   	 
  GA-1003 	  Rund fat med kant - 6 st 	  955,68 	  2 	  0,1% 	  
   	 
  GA-1044 	  Snögubbetallrik - 6 st. 	  397,96 	  2 	  0,1% 	  
   	 
  GA-1052 	  Muffinstallrik - 12 st. 	  733,96 	  2 	  0,1% 	  
   	 
  GA-1600 	  Mindre assiett med kant - 12 st. 	  739,09 	  2 	  0,1% 	  
   	 
  GA-1615 	  Tallrik med kant - 24 st. 	  1 828,00 	  2 	  0,1% 	  
   	 
  GA-2064 	  Drejad skål 15 cm - 8 st. 	  536,00 	  2 	  0,1% 	  
   	 
  GA-2080 	  Äggskål - 8 st. 	  697,60 	  2 	  0,1% 	  
   	 
  GA-2129 	  Frukostskål med kant 13 cm - 8 st. 	  544,00 	  2 	  0,1% 	  
   	 
  GA-2152 	  Frukostskål 15 cm - 6 st. 	  570,98 	  2 	  0,1% 	  
   	 
  GA-3011 	  Julgran tallrik - 12 st. 	  1 215,80 	  2 	  0,1% 	  
   	 
  GA-3021 	  Rektangulär fat med kant - 4 st 	  825,60 	  2 	  0,1% 	  
   	 
  GA-3022 	  Rektangulärt fat - 4 st. 	  912,00 	  2 	  0,1% 	  
   	 
  GA-3060 	  Pepparkaksfat - 4 st. 	  617,56 	  2 	  0,1% 	  
   	 
  GA-3063 	  Rektangulärt fat med handgrepp - 6 st 	  929,60 	  2 	  0,1% 	  
   	 
  GA-4003 	  Stor mugg - 8 st. 	  550,00 	  2 	  0,1% 	  
   	 
  GA-4018 	  Vas med vågig kant - 8 st 	  788,00 	  2 	  0,1% 	  
   	 
  GA-4037 	  Tekopp med fat - 8 st. 	  932,00 	  2 	  0,1% 	  
   	 
  GA-4079 	  Mugg med hjärta - 8 st. 	  531,48 	  2 	  0,1% 	  
   	 
  GA-4112 	  Mugg med litet hjärta - 8 st. 	  690,00 	  2 	  0,1% 	  
   	 
  GA-4164 	  Syltglas mugg - 6 st. 	  450,00 	  2 	  0,1% 	  
   	 
  GA-4221 	  Mason Salt & peppar - 8 st. 	  517,05 	  2 	  0,1% 	  
   	 
  GA-5030 	  Snögubbe 16 cm - 6 st 	  337,96 	  2 	  0,1% 	  
   	 
  GA-5055 	  Vas - 4 st 	  888,00 	  2 	  0,1% 	  
   	 
  GA-5119 	  Julgranshänge - 24 st. 	  613,96 	  2 	  0,1% 	  
   	 
  GA-5143 	  Ugglalykta - 4 st. 	  652,00 	  2 	  0,1% 	  
   	 
  GA-5209 	  Mini enhörning - 12 st 	  195,00 	  2 	  0,1% 	  
   	 
  GA-5220 	  Smörburk - 8 st 	  916,80 	  2 	  0,1% 	  
   	 
  GA-5252 	  Ananaslykta - 4 st. 	  330,00 	  2 	  0,1% 	  
   	 
  GA-5263 	  Snöflinga lykta - 4 st. 	  352,08 	  2 	  0,1% 	  
   	 
  GA-5292 	  Kakel hänge - 24 st 	  569,00 	  2 	  0,1% 	  
   	 
  GA-5308 	  Mini kruka - 8 st 	  396,00 	  2 	  0,1% 	  
   	 
  GA-5309 	  Prisma kruka - 8 st 	  405,96 	  2 	  0,1% 	  
   	 
  GA-5310 	  Fyrlykta - 4 st. 	  488,55 	  2 	  0,1% 	  
   	 
